ds,orig,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,res
2017-03-31 09:00:00,85868.0,-91.7316778088538,59.84769729506529,106.34567456234151,38.47702989488634,482.804166450584,10.588596724600437,-210.74997559652604,-46.67435087393469,85519.09283935183,0.0
2017-03-31 12:00:00,85716.0,-51.834819187889494,-52.82513311609584,76.50849287436311,9.698900771288864,466.74306546070864,4.968300624088705,-208.90436584018164,-47.453148094253585,85519.09870650797,0.0
2017-03-31 15:00:00,85692.0,92.87439658043398,-127.55777574121622,32.50557834575548,-17.848082468287718,448.8027577466379,-0.6305833052606444,-207.0190718285527,-48.23177099334547,85519.10455166383,0.0
2017-03-31 18:00:00,85516.0,8.557673331996233,-116.52355094692722,-21.149201186009755,-42.54153361729329,428.8502043501012,-6.199221196352321,-205.0945195210191,-49.010226041623,85519.11037482711,0.0
2017-03-31 21:00:00,85386.0,-90.75192151321242,-45.705425964493166,-76.00369460316973,-62.75906646912564,406.75236631288016,-11.728779181847832,-203.13113487692598,-49.788519709967865,85519.11617600586,0.0
2017-04-01 00:00:00,85480.0,3.9664158397302534,38.68073287128723,-118.3605880592076,-76.8782948175126,382.37620467703437,-17.21042339468663,-201.12934385542746,-50.56665846900116,85519.12195520777,1.4551915228366852e-11
2017-04-01 03:00:00,85556.0,87.77750257911859,83.98111948767351,-134.12864136303585,-83.27683245579985,355.58868048424114,-22.63531996766919,-199.0895724160076,-51.344648789344006,85519.12771244082,1.4551915228366852e-11
2017-04-01 06:00:00,85386.0,-43.14305941071649,56.68475678596732,-114.94153370591812,-80.88656260793661,326.2823299188547,-27.994635033474395,-197.01224651790739,-52.12249714163488,85519.13344771277,0.0
2017-04-01 09:00:00,85306.0,-74.81578756051952,-11.966142958194625,-68.85595673822327,-70.89748870766022,294.4737517751463,-33.27953472498958,-194.89779212052403,-52.900209996581744,85519.13916103155,0.0
2017-04-01 12:00:00,85272.0,-87.0386703176796,-69.74997117072192,-10.524711306873977,-55.21907480231133,260.2931893755451,-38.48118517504997,-192.74663518320273,-53.677793824632,85519.14485240492,0.0
2017-04-01 15:00:00,85480.0,88.64221093387867,-73.26606625231909,45.9877221019254,-35.82578193500105,223.91660258899253,-43.59075251642131,-190.55920166509753,-54.45525509684104,85519.15052184087,1.4551915228366852e-11
2017-04-01 18:00:00,85522.0,50.56943550036548,-17.38834424959063,91.00277995746504,-14.765368109889843,185.59324824556614,-48.59940288188669,-188.33591752564047,-55.232600283569404,85519.15616934717,0.0
2017-04-01 21:00:00,85452.0,-94.09634663974862,54.11253139324096,116.92057545452084,5.923349788571316,145.56344205559938,-53.49830240417711,-186.07720872414194,-56.00983585554243,85519.16179493169,-1.4551915228366852e-11
2017-04-02 00:00:00,85544.0,-7.090162484547423,86.09480820786295,116.3909678752477,24.225777470020372,104.0602970487858,-58.278617216214656,-183.7835012199992,-56.78696828343334,85519.16739860228,0.0
2017-04-02 03:00:00,85572.0,99.82112409405259,69.46695896408096,85.6533130173269,38.524631952387026,61.31173006638711,-62.93151345073032,-181.4552209724185,-57.56400403789799,85519.17298036681,0.0
2017-04-02 06:00:00,85318.0,1.1786984526695004,0.9029606608867905,35.56025144106625,48.52578641362789,17.535663569512387,-67.44815724054195,-179.0927939408665,-58.34094958947062,85519.1785402331,0.0
2017-04-02 09:00:00,85042.0,-101.96082623194518,-75.42024915885172,-19.37800012425097,54.213023408662686,-27.003853890638858,-71.81971471860636,-176.69664608439308,-59.11781140908504,85519.18407820912,-1.4551915228366852e-11
2017-04-02 12:00:00,84970.0,-49.341096575259755,-108.52547315960688,-64.65122494941099,55.517230403141724,-71.98987867429254,-76.03735201741137,-174.26720336255187,-59.89459596722339,85519.18959430262,0.0
2017-04-02 15:00:00,85070.0,97.55356762159434,-80.91926514533293,-88.52478198018065,52.3209441001098,-117.05711637851314,-80.09223526998325,-171.80489173472276,-60.67130973443727,85519.19508852146,0.0
2017-04-02 18:00:00,85032.0,38.51482634378891,-3.1248739092992093,-90.52464360115839,44.4891931768512,-161.8214359330149,-83.97553060905304,-169.31013716009454,-61.44795918150417,85519.20056087348,1.4551915228366852e-11
2017-04-02 21:00:00,84950.0,-86.76290217225316,81.83519756614139,-73.86710255282733,32.17147882429918,-205.8963624874669,-87.67840416743854,-166.78336559797765,-62.22455077913202,85519.20601136667,-1.4551915228366852e-11
2017-04-03 00:00:00,85034.0,-20.21393541128789,128.7241641166762,-43.1401666031087,16.73203516387053,-248.89542119132975,-91.19202207788815,-164.22500300771725,-63.001090997941944,85519.21144000873,0.0
2017-04-03 03:00:00,85092.0,74.73540932418418,111.96523395745562,-3.7309283366863855,0.16618757227958275,-290.4321371943247,-94.50755047335869,-161.6354753485716,-63.77758630853769,85519.21684680755,0.0
2017-04-03 06:00:00,84924.0,5.79972704905568,28.319541579994056,37.407283685928206,-15.443341192016215,-330.1200356459818,-97.61615548644218,-159.01520857995536,-64.55404318176619,85519.22223177119,0.0
