ds,orig,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,IMF14,res
2018-06-01 21:00:00,0.0,0.005598304195690987,-0.0007340884820212795,-0.003090294917725138,-0.0040103796306588425,0.0021822801579269506,-0.0011362673289873843,8.68037866410481e-05,0.0008037028968806956,0.00025613363083772236,-0.00643159584497926,-0.001640482487128601,0.0016644445044043353,0.0007448629574277781,0.0057065765616909885,0.0
2018-06-02 00:00:00,0.0,0.0028341861238753104,-0.0027267616928335634,-0.0032027286742965025,-0.0008599437362487994,0.0032430778867237366,-0.0006078312387856263,0.00013936051371332093,0.0012505278435017075,-0.00011409161641868972,-0.006491834215247626,-0.0015920387420568312,0.001672451279849029,0.0007500043787886403,0.005705621889435894,-8.673617379884035e-19
2018-06-02 03:00:00,0.0,-0.0063141604179482395,-0.002330533507247431,0.00039404797830282673,0.003057631526137125,0.003766798370802076,-3.409001444924258e-05,0.00018942199680815346,0.0017129605192129874,-0.0004882869506969143,-0.006550539882866394,-0.0015435164940540758,0.0016804564935678972,0.0007551428773374883,0.005704667505093744,-1.734723475976807e-18
2018-06-02 06:00:00,0.0225029,0.006336649332052882,0.0026699462803169705,0.0030193259471096297,0.004809637695286891,0.003522721483619999,0.0005388035318973784,0.0002325566554952835,0.002188399843835136,-0.0008650034120240465,-0.006607670137756137,-0.0014949191015034096,0.0016884600317721712,0.0007602784410430303,0.0057037134088542265,-1.0408340855860843e-17
2018-06-02 09:00:00,0.0,-0.006267795424256739,-0.0016454888144979217,0.0002958879808733749,0.002399035946855525,0.002411413362164257,0.0010559610959267852,0.0002643329093444168,0.0026742447371887784,-0.0012427920404272453,-0.006663182269837409,-0.0014462499227879018,0.0016964617806730846,0.0007654110578740054,0.005702759600906988,0.0
2018-06-02 12:00:00,0.0,0.003140435158965738,-0.0025568132199099217,-0.002883475714967499,-0.0018765557856118685,0.0008021635515471983,0.0014839740504888493,0.00028031917792528834,0.0031678941190944722,-0.0016202038759335702,-0.006717033569030771,-0.0013975123162906162,0.0017044616264818646,0.0007705407157990656,0.00570180608144177,-8.673617379884035e-19
2018-06-02 15:00:00,0.0,0.003434464621583625,-0.00016027777626541,-0.0013657265860544463,-0.004902835970707964,-0.0008194055939484327,0.001795651730588814,0.0002761925215814619,0.003666638268599019,-0.0019957899585701672,-0.0067691813252568015,-0.0013487096403946232,0.0017124594554097704,0.0007756674027869001,0.0057008528506482525,1.734723475976807e-18
2018-06-02 18:00:00,0.0,-0.0016198628493323073,0.0024474223236293836,0.0020347668987012813,-0.004892611778304357,-0.0020625322902387373,0.0019638034712319056,0.0002479504040151403,0.004167447061390513,-0.002368101328364154,-0.006819582828436046,-0.0012998452534829937,0.0017204551536680129,0.0007807911068062373,0.005699899908716122,-8.673617379884035e-19
2018-06-02 21:00:00,0.007499695,0.005806657856410027,-0.0007627671909822263,0.0027054976369767967,-0.001531767031586001,-0.0029027934427332735,0.0019678583839495742,0.000190849629748134,0.004667658386858808,-0.002735689025342625,-0.006868195368489084,-0.0012509225139388043,0.0017284486074678272,0.0007859118158257661,0.0056989472558350825,1.734723475976807e-18
2018-06-03 00:00:00,0.0,-0.003608993426649823,0.0018733912691352207,-0.0026144970794303875,0.0036198811486258687,-0.0033600307440577446,0.001813849017248902,0.0001001564508669621,0.00516480435624584,-0.003097104089532692,-0.006914976235336487,-0.001201944780145104,0.001736439703020455,0.0007910295178141603,0.005697994892194829,8.673617379884035e-19
2018-06-03 03:00:00,0.0,-0.0028185888167526966,-0.0005360828802654232,-0.001926007844906853,0.0049061329316135915,-0.0034486646612083443,0.0015151940076437232,-2.2339487363452483e-05,0.005656437096322417,-0.003450897560961501,-0.00695988271889879,-0.0011529154104849865,0.0017444283265371544,0.0007961442007400944,0.005697042817985067,0.0
2018-06-03 06:00:00,0.0,-0.0020858927336865293,-0.002771705425419103,0.0018198890986004547,0.0028182519801487177,-0.003187866733287079,0.0010923822745880893,-0.00017259809290654397,0.006140108733859302,-0.003795620479656125,-0.007002872109096587,-0.0011038377633414951,0.001752414364229116,0.0008012558525723232,0.00569609103339546,-8.673617379884035e-19
2018-06-03 09:00:00,0.0,-0.0029310316669055865,0.00040682987189243845,0.002630911405100182,-0.0003943355241741441,-0.002603718421717702,0.0005909522414322022,-0.0003461913462420977,0.006613122517003735,-0.004129823885643708,-0.007043901695850424,-0.001054715197097718,0.001760397702307581,0.0008063644612795273,0.0056951395386157155,8.673617379884035e-19
2018-06-03 12:00:00,0.0,-0.0018047756896103554,0.0033334694755432267,0.0010595286044565867,-0.0031945215751305843,-0.0017263109430339248,6.502174424128294e-05,-0.0005376957133556065,0.007071786179408599,-0.004452058818951355,-0.007082928769080873,-0.001005551070136712,0.0017683782269838052,0.0008114700148303482,0.005694188333835562,8.673617379884035e-19
2018-06-03 15:00:00,0.0,0.0021690950935824094,0.0023414733818987797,-0.0008756465565650594,-0.004837644884473533,-0.0005770654303179218,-0.00043996146436989085,-0.000741438781608974,0.007512158576103211,-0.004760876319606167,-0.007119910618708503,-0.0009563487408415463,0.0017763558244689934,0.0008165725011935787,0.005693237419244623,1.734723475976807e-18
2018-06-03 18:00:00,0.0,0.00643268570970728,-0.0012906602511181477,-0.0024671145271585072,-0.004746446949981782,0.0007924823218873076,-0.0008810422815493896,-0.0009517481383641131,0.007930298562116906,-0.005054827427635272,-0.007154804534653874,-0.0009071115675952989,0.0017843303809744154,0.0008216719083378325,0.005692286795032643,-8.673617379884035e-19
2018-06-03 21:00:00,0.0,0.007208711802044693,-0.004702956920275641,-0.002906057205044845,-0.0026722083131004073,0.002195930049677288,-0.00121526560444523,-0.0011629513709829175,0.008322264992479001,-0.005332463183065791,-0.007187567806837542,-0.0008578429087810344,0.0017923017827112917,0.000826768224231836,0.005691336461389298,8.673617379884035e-19
2018-06-04 00:00:00,0.0,0.0013033273596917455,-0.004811391530125937,-0.0009038583850835887,0.00039685965293079987,0.003396519280048147,-0.0013996763302053727,-0.0013693760668273018,0.008684116722218803,-0.005592334625924823,-0.007218157725180079,-0.0008085461227818142,0.001800269915890836,0.0008318614368442802,0.0056903864185043045,8.673617379884035e-19
2018-06-04 03:00:00,0.0,-0.010056334345183864,0.00018579795654757238,0.001896402971734959,0.0032699617406330744,0.004161585357422041,-0.0014003176229556613,-0.0015648825881770165,0.00901191260636566,-0.005832992796239491,-0.007246531579602051,-0.0007592245679807277,0.0018082346667243102,0.0008369515341438533,0.005689436666567341,2.6020852139652106e-18
2018-06-04 06:00:00,0.030002594,0.010663204402389851,0.006318700759169653,0.003291348372801416,0.004784524649133228,0.004297196869115068,-0.0012248684690963536,-0.0017404287179302877,0.009301711499948857,-0.006052988734036891,-0.007272646660024019,-0.0007098816027608043,0.0018161959214229272,0.0008420385040992621,0.005688487205768093,-6.938893903907228e-18
2018-06-04 09:00:00,0.0,-0.011240524481275885,0.000668944960759242,0.0018395108975240442,0.0041293264204074,0.0037042442582863534,-0.0009199119341420409,-0.0018821219955144019,0.009549572257997753,-0.006250873479344162,-0.007296460256366546,-0.0006605205855051572,0.001824153566197949,0.0008471223346792149,0.005687538036296237,8.673617379884035e-19
2018-06-04 12:00:00,0.0,0.0018730561207387375,-0.006436230868306893,-0.0011221455148551333,0.0018985504678248406,0.0025514661946172586,-0.0005586327078183769,-0.0019742444818611174,0.009751703877027205,-0.006425348213673951,-0.007317929658550207,-0.0006111448745968335,0.0018321074872605725,0.0008522030138523802,0.005686589158341517,1.734723475976807e-18
2018-06-04 15:00:00,0.0,0.010141237095601689,-0.008283405005909147,-0.003562049210135499,-0.0009622684523960027,0.0010427402620272605,-0.00018774354217731756,-0.002002337447813545,0.009905384877102198,-0.006575767263888303,-0.0073370121564955565,-0.0005617578284188943,0.0018400575708220422,0.0008572805295874664,0.00568564057209361,-1.734723475976807e-18
2018-06-04 18:00:00,0.0,0.011103351550626741,-0.004974751149470033,-0.004032788775893012,-0.003507288142862429,-0.0006262348551821345,0.0001557279649591024,-0.0019552480963570098,0.010010114666752223,-0.006701906167784844,-0.007353665040123154,-0.0005123628053544199,0.00184800370309361,0.0008623548698531577,0.005684692277742201,-1.734723475976807e-18
